id,faixa_etaria,experiencia_tech,frequencia_portal,contexto_acesso,perfil_comportamental,motivacao,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34
228,12 ou 13 anos,Heavy user digital,Acessa semanalmente,Escola e casa,Impaciente,Obrigação (professor mandou),12 ou 13 anos,Uso toda semana,Celular,Tanto na escola quanto em casa,Fico tentando sozinho até descobrir | Desisto e não uso aquela parte,"Atividades ou tarefas para fazer | Não sei bem o que aparece, é confuso","😐 Normal, nem bom nem ruim",Não muito claro,Acho que tem um jeito de ver as notas e comentários do professor mas nunca achei direito. Já tentei algumas vezes mas desisti.,"Tem muitas opções e fico confuso | Já me acostumei, mas no começo era difícil",Muito mais difícil de usar,Fico clicando nos menus até achar,"Às vezes encontro, às vezes não","Atividades (exercícios, tarefas) | Jogos e desafios | Não importa, desde que seja fácil de achar","Ia abrir o portal e tentar achar na parte de atividades. Se não achasse de primeira, tentaria usar a busca. Se não funcionasse logo, pedia pro professor me mandar o link direto porque não tenho paciência pra ficar procurando.","Tanto faz, o que importa é ser fácil",Fico procurando onde clicar por um tempo | Uso o botão 'voltar' do navegador,"Sim, acontece muito",Acontece bastante,"Desisto quase na hora, menos de 1 minuto",Peço ajuda para um colega | Procuro em outro site fora do portal,Não encontro nem com a busca | Clico em vários lugares e não abre nada | A página demora para carregar,"😤 Com raiva, é muito difícil","O professor mandou fazer uma atividade de matemática e eu fui procurar no portal. Cliquei em umas três abas diferentes, nenhuma tinha o que eu precisava. Tentei a busca e não apareceu nada certo. No fim pedi pro meu colega me mandar o link pelo WhatsApp.","Com certeza, usaria sempre","Sim, muito — uso muito as mesmas coisas",Seria útil às vezes,Poder fixar atalhos rápidos na tela inicial | Uma barra de busca mais visível e fácil de usar | Ver o que eu acessei recentemente | A tela inicial mostrar só o que é mais importante,"Queria que tivesse notificação quando o professor posta uma atividade nova, porque fico sabendo só quando ele fala na aula. Também queria que fosse mais rápido de abrir, demora muito no celular.","Diria que é um portal que a escola obriga a usar, então tu vai ter que aprender de qualquer jeito. Mas avisa logo que no começo é bem confuso e você vai se perder bastante.","⭐⭐ Ruim, é difícil de usar",Provavelmente não indicaria,Um pouco mais fácil,confuso
229,12 ou 13 anos,Usa computador regularmente,Acessa todo dia,Só em casa,Curioso/explorador,Gosta do conteúdo,12 ou 13 anos,Uso quase todo dia,Computador ou notebook,Só em casa,Fico tentando sozinho até descobrir | Procuro um vídeo ou tutorial,Uma lista de matérias ou disciplinas | Atividades ou tarefas para fazer,"🙂 Tranquilo, vou descobrindo",Mais ou menos claro,"Parece que tem um repositório de provas antigas em algum lugar, porque o professor mencionou uma vez, mas nunca consegui achar. Tentei pesquisar na busca com vários termos diferentes e fui clicando em todas as abas, mas nada apareceu. Acho que existe mas está bem escondido.","Já me acostumei, mas no começo era difícil",Um pouco mais difícil de usar,Uso a barra de busca (aquela caixinha para digitar),"Às vezes encontro, às vezes não","Aulas (videoaulas, explicações) | Trilhas (sequências de conteúdo para seguir) | Jogos e desafios","Primeiro ia na barra de busca e digitaria 'atividade de programação' ou só 'programação' pra ver o que aparece. Se não achasse nada, ia em matérias e procuraria a de tecnologia ou informática, abrindo cada subseção. Se mesmo assim não aparecesse, tentaria filtrar por tipo de conteúdo ou perguntaria no grupo da turma se alguém sabe onde está.","Tanto faz, o que importa é ser fácil","Consigo navegar fácil, sei onde clicar","Sim, já aconteceu algumas vezes",Acontece às vezes,Tento por mais de 5 minutos,Procuro em outro site fora do portal | Tento de novo mais tarde,Não entendo os nomes das seções | Fico indo e voltando sem saber onde estou,"😞 Chateado, queria ter encontrado","Uma vez o professor mandou uma lista de exercícios de matemática pelo portal e fiquei uns 10 minutos tentando achar. Fui em 'atividades', em 'matemática', em 'recursos', mas não aparecia nada do que ele tinha postado. Tentei pesquisar na busca com vários termos tipo 'lista', 'exercício' e 'revisão', e nada. No final tive que pedir para um colega que me mostrou que estava numa aba que eu nem sabia que existia.","Com certeza, usaria sempre","Sim, muito — uso muito as mesmas coisas","Adoraria, me ajudaria a descobrir coisas novas","Conteúdos separados por tipo (aulas, atividades, recursos, trilhas) | Uma barra de busca mais visível e fácil de usar | Ver o que eu acessei recentemente","Queria que tivesse uma seção de desafios ou missões relacionadas às matérias, tipo uma gamificação mesmo. Também seria muito útil ter notificações quando o professor postar algo novo, porque às vezes fico sabendo de atividade só quando um colega me avisa no WhatsApp. E uma área de favoritos para salvar os conteúdos que mais uso faria muita diferença no dia a dia.","Diria que o portal tem bastante conteúdo legal, especialmente as videoaulas que são bem explicadas. Mas avisaria que no começo pode ser um pouco confuso achar as coisas certas, então vale explorar bastante nos primeiros dias até pegar o jeito. Com o tempo você descobre onde fica tudo e fica bem mais fácil.","⭐⭐⭐⭐ Bom, mas poderia melhorar",Provavelmente indicaria,"Sim, ficou muito mais fácil",Descoberta
230,12 ou 13 anos,Usa computador às vezes,Acessa semanalmente,Escola e casa,Indiferente,Obrigação (professor mandou),12 ou 13 anos,Uso toda semana,Computador ou notebook,Tanto na escola quanto em casa,Fico tentando sozinho até descobrir | Peço ajuda para um colega,Uma lista de matérias ou disciplinas | Atividades ou tarefas para fazer,"😐 Normal, nem bom nem ruim",Mais ou menos claro,Acho que tem algum lugar com materiais extras mas nunca achei direito.,"Já me acostumei, mas no começo era difícil",Um pouco mais difícil de usar,Fico clicando nos menus até achar,"Às vezes encontro, às vezes não","Aulas (videoaulas, explicações) | Atividades (exercícios, tarefas)",Ia procurar no menu ou digitar o nome na busca.,"Tanto faz, o que importa é ser fácil",Fico procurando onde clicar por um tempo,"Sim, já aconteceu algumas vezes",Acontece às vezes,Tento por uns 2 ou 3 minutos,Peço ajuda para um colega | Desisto e não faço a tarefa,Clico em vários lugares e não abre nada | A página demora para carregar,"😐 Normal, já estou acostumado",Uma vez fui achar uma atividade de ciências e não consegui encontrar. Desisti e perguntei para um colega no dia seguinte.,"Talvez, dependeria de como funciona","Sim, um pouco",Indiferente,"Conteúdos separados por tipo (aulas, atividades, recursos, trilhas) | A tela inicial mostrar só o que é mais importante","Não sei, tá ok do jeito que tá.","Diria que tem o que precisa mas não é lá essas coisas. Se o professor mandar usar, tudo bem.","⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Um pouco mais fácil,Ok
231,12 ou 13 anos,Nunca usou computador,Acessa semanalmente,Só em casa,Indiferente,Obrigação (professor mandou),12 ou 13 anos,Uso toda semana,Celular,Só em casa,Peço ajuda para alguém em casa | Desisto e não uso aquela parte,"Não sei bem o que aparece, é confuso","😐 Normal, nem bom nem ruim",Não muito claro,"Não sei, nunca fui atrás de nada específico.",Tem muitas opções e fico confuso,Um pouco mais difícil,Fico clicando nos menus até achar,"Às vezes encontro, às vezes não","Atividades (exercícios, tarefas) | Aulas (videoaulas, explicações)",Ia pedir pra minha mãe me ajudar a achar ou perguntava pro professor onde ficava.,"Tanto faz, o que importa é ser fácil",Fico procurando onde clicar por um tempo,"Sim, já aconteceu algumas vezes",Acontece às vezes,Tento por uns 2 ou 3 minutos,Peço ajuda para alguém em casa | Desisto e não faço a tarefa,Não entendo os nomes das seções | Tem muita coisa na tela ao mesmo tempo,"😐 Normal, já estou acostumado",Uma vez tentei achar uma atividade que o professor tinha mandado e não encontrei. Desisti e pedi pra minha mãe ver.,"Talvez, dependeria de como funciona","Sim, um pouco",Indiferente,Uma barra de busca mais visível e fácil de usar | A tela inicial mostrar só o que é mais importante,"Não sei, acho que tá ok assim.","É o portal da escola, tem as atividades lá. Usa quando o professor manda.","⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Continua igual,Normal
232,12 ou 13 anos,Heavy user digital,Acessa todo dia,Escola e casa,Persistente/metódico,Obrigação (professor mandou),12 ou 13 anos,Uso quase todo dia,"Uso em aparelhos diferentes, depende do dia",Tanto na escola quanto em casa,Fico tentando sozinho até descobrir | Peço ajuda para um colega,Uma lista de matérias ou disciplinas | Atividades ou tarefas para fazer,"😐 Normal, nem bom nem ruim",Mais ou menos claro,"Acho que tem algum lugar onde ficam as notas e o histórico de atividades entregues, mas nunca consegui achar direito. Já tentei pelo menu e pela busca várias vezes e não encontrei nada claro sobre isso.","Já me acostumei, mas no começo era difícil",Um pouco mais difícil de usar,Vou direto em uma parte que já conheço,"Às vezes encontro, às vezes não","Aulas (videoaulas, explicações) | Atividades (exercícios, tarefas) | Trilhas (sequências de conteúdo para seguir)","Primeiro eu iria direto na parte de atividades pra ver se já aparece lá listada. Se não achasse, usaria a busca e digitaria 'programação' ou o nome da atividade. Se ainda não encontrasse, abriria cada matéria uma por uma procurando. Só perguntaria pro professor depois de tentar tudo isso.","Tanto faz, o que importa é ser fácil","Consigo navegar fácil, sei onde clicar | Uso o botão ""voltar"" do navegador","Sim, já aconteceu algumas vezes",Acontece às vezes,"Não desisto, fico até achar",Tento de novo mais tarde | Procuro em outro site fora do portal,A página demora para carregar | Não entendo os nomes das seções,"😞 Chateado, queria ter encontrado","Uma vez o professor mandou a turma acessar um exercício de ciências que ele tinha postado. Fui em atividades, nada. Tentei pela busca com várias palavras, nada. Fui abrindo matéria por matéria e levei uns 15 minutos. No dia seguinte o professor mostrou que estava numa aba que eu nem sabia que existia no portal.","Com certeza, usaria sempre","Sim, muito — uso muito as mesmas coisas",Seria útil às vezes,"Poder fixar atalhos rápidos na tela inicial | Conteúdos separados por tipo (aulas, atividades, recursos, trilhas) | Uma barra de busca mais visível e fácil de usar | Ver o que eu acessei recentemente","Gostaria que tivesse uma notificação mais clara quando o professor posta atividade nova, porque às vezes fico sabendo pelo caderno e não pelo portal. Também seria útil conseguir ver um histórico de tudo que já entreguei e as notas num lugar só.","Diria que dá pra usar, mas que você precisa ter paciência no começo pra aprender onde fica cada coisa. Não é igual a um app normal, mas depois que você pega o jeito fica mais tranquilo.","⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Um pouco mais fácil,Funcional
233,12 ou 13 anos,Usa computador às vezes,Acessa todo dia,Só em casa,Impaciente,Gosta do conteúdo,12 ou 13 anos,Uso quase todo dia,Computador ou notebook,Só em casa,Fico tentando sozinho até descobrir | Desisto e não uso aquela parte,Uma lista de matérias ou disciplinas | Atividades ou tarefas para fazer,"😐 Normal, nem bom nem ruim",Mais ou menos claro,"Acho que tem um jeito de ver todas as tarefas e notas juntas em um lugar só, mas nunca consegui encontrar isso. Já fiquei clicando em alguns lugares tentando achar, mas desisti rápido. Seria muito mais fácil se tivesse mais visível.","Tem muitas opções e fico confuso | Já me acostumei, mas no começo era difícil",Um pouco mais difícil,Vou direto em uma parte que já conheço,"Às vezes encontro, às vezes não","Aulas (videoaulas, explicações) | Jogos e desafios","Ia tentar digitar 'programação' na busca primeiro para ver o que aparece. Se não achasse nada rápido, tentaria clicar em alguma matéria de tecnologia. Se demorasse mais do que um minuto para achar, provavelmente desistiria e pediria para alguém em casa me ajudar a encontrar.","Tanto faz, o que importa é ser fácil","Fico procurando onde clicar por um tempo | Uso o botão ""voltar"" do navegador","Sim, já aconteceu algumas vezes",Acontece às vezes,"Desisto quase na hora, menos de 1 minuto",Procuro em outro site fora do portal | Desisto e não faço a tarefa,Clico em vários lugares e não abre nada | A página demora para carregar,"😤 Com raiva, é muito difícil","Uma vez o professor falou que tinha um vídeo de matemática no portal para estudar para a prova. Fui lá tentar achar e cliquei em vários lugares, mas nada aparecia. Tentei a busca também mas não sabia o nome certo do vídeo. Desisti em menos de um minuto e fui procurar outra coisa no YouTube mesmo.","Com certeza, usaria sempre","Sim, muito — uso muito as mesmas coisas",Seria útil às vezes,Uma barra de busca mais visível e fácil de usar | Ver o que eu acessei recentemente | A tela inicial mostrar só o que é mais importante,"Queria que aparecesse logo na tela inicial o que eu preciso fazer naquele dia, sem precisar ficar procurando. Também seria bom se carregasse mais rápido, porque às vezes trava e eu perco a paciência. E queria que as aulas fossem mais fáceis de achar, sem precisar passar por várias telas.","Falaria que tem bastante conteúdo legal lá, principalmente as aulas e atividades. Mas ia avisar que às vezes é chato de navegar e achar as coisas. Se a pessoa tiver paciência, vale usar, porque quando você acha o que quer é bem bom.","⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Um pouco mais fácil,confuso
234,12 ou 13 anos,Usa computador às vezes,Acessa todo dia,Escola e casa,Tímido/dependente,Obrigação (professor mandou),12 ou 13 anos,Uso quase todo dia,"Uso em aparelhos diferentes, depende do dia",Tanto na escola quanto em casa,Peço ajuda para o professor | Peço ajuda para um colega | Peço ajuda para alguém em casa,Atividades ou tarefas para fazer | Uma lista de matérias ou disciplinas,"😐 Normal, nem bom nem ruim",Mais ou menos claro,"Acho que tem uma parte com todas as atividades organizadas por data, mas nunca consigo encontrar direito. Toda vez que preciso de uma tarefa específica, fico perdido clicando em vários lugares. Já tentei procurar algumas vezes, mas acabo desistindo e pedindo ajuda.","Tem muitas opções e fico confuso | Já me acostumei, mas no começo era difícil",Um pouco mais difícil,Peço para alguém me mostrar onde fica,"Às vezes encontro, às vezes não","Atividades (exercícios, tarefas) | Aulas (videoaulas, explicações)","Eu ia primeiro perguntar para o professor onde fica essa atividade, porque sozinho é difícil de achar. Se ele não estivesse por perto, ia tentar clicar no menu de atividades e ir procurando. Se não achasse, ia pedir ajuda para algum colega que já tivesse encontrado antes.","Tanto faz, o que importa é ser fácil",Fico procurando onde clicar por um tempo | Volto para o início e começo de novo,"Sim, já aconteceu algumas vezes",Acontece às vezes,Depende do quanto preciso daquilo,Peço ajuda para o professor | Peço ajuda para um colega,Não encontro nem com a busca | Fico indo e voltando sem saber onde estou,"😅 Sem problema, sempre tem alguém para ajudar","Uma vez o professor mandou a gente fazer uma atividade de matemática que estava no portal, mas eu não consegui achar de jeito nenhum. Fiquei clicando em vários menus mas não aparecia nada com esse nome. No final tive que perguntar para a professora no dia seguinte onde ficava.",Provavelmente usaria,"Sim, um pouco",Seria útil às vezes,"Conteúdos separados por tipo (aulas, atividades, recursos, trilhas) | Uma barra de busca mais visível e fácil de usar | A tela inicial mostrar só o que é mais importante","Acho que seria bom ter uma parte que mostrasse só as tarefas que o professor mandou, em ordem. Às vezes fico confuso tentando entender o que é obrigatório e o que é opcional. Seria mais fácil se ficasse tudo separado e bem claro.","Diria que dá para usar, mas que no começo é meio difícil de entender onde fica cada coisa. Falaria para pedir ajuda para o professor quando não encontrar algo, porque sozinho é complicado. A gente acaba se acostumando com o tempo.","⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Um pouco mais fácil,complicado
235,12 ou 13 anos,Usa computador às vezes,Acessa semanalmente,"Escola pública, zona rural",Tímido/dependente,Curiosidade própria,12 ou 13 anos,Uso toda semana,Computador ou notebook,Só na escola,Peço ajuda para o professor | Peço ajuda para um colega,"Atividades ou tarefas para fazer | Não sei bem o que aparece, é confuso",😕 Um pouco perdido,Mais ou menos claro,"Acho que tem um jeito de ver as notas das atividades, mas nunca consegui encontrar onde fica. Toda vez que eu procuro, acabo clicando em outro lugar sem querer.","Tem muitas opções e fico confuso | Já me acostumei, mas no começo era difícil",Um pouco mais difícil de usar,Peço para alguém me mostrar onde fica,"Às vezes encontro, às vezes não","Aulas (videoaulas, explicações) | Atividades (exercícios, tarefas)","Eu ia pedir para o professor me mostrar onde ficava essa atividade, porque sozinho eu ficaria com medo de clicar no lugar errado. Não gosto muito de ficar tentando sem saber se estou no caminho certo.","Tanto faz, o que importa é ser fácil",Fico procurando onde clicar por um tempo | Uso o botão 'voltar' do navegador,"Sim, já aconteceu algumas vezes",Acontece às vezes,Tento por uns 2 ou 3 minutos,Peço ajuda para o professor | Peço ajuda para um colega,Não entendo os nomes das seções | Fico indo e voltando sem saber onde estou,"😞 Chateado, queria ter encontrado","Uma vez o professor pediu para eu acessar um conteúdo de matemática, mas quando abri o portal não consegui encontrar. Fiquei clicando em vários lugares e nada aparecia certo. No dia seguinte tive que pedir ajuda para o professor me mostrar onde estava.",Provavelmente usaria,"Sim, um pouco",Seria útil às vezes,"Conteúdos separados por tipo (aulas, atividades, recursos, trilhas) | Uma barra de busca mais visível e fácil de usar | A tela inicial mostrar só o que é mais importante","Eu gostaria que tivesse algum jeito de tirar dúvida direto pelo portal, sem precisar esperar o professor. Às vezes fico com dúvida em casa e não tenho como perguntar para ninguém.","Eu diria que dá para aprender bastante coisa lá, mas que no começo é um pouco difícil de entender onde fica cada coisa. Falaria para ele não ter vergonha de pedir ajuda para o professor quando não souber.","⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Um pouco mais fácil,confuso
236,12 ou 13 anos,Nunca usou computador,Acessa semanalmente,Só em casa,Curioso/explorador,Obrigação (professor mandou),12 ou 13 anos,Uso toda semana,Celular,Só em casa,Fico tentando sozinho até descobrir | Peço ajuda para alguém em casa,Atividades ou tarefas para fazer | Uma lista de matérias ou disciplinas,"🙂 Tranquilo, vou descobrindo",Mais ou menos claro,"Acho que tem um lugar pra ver as notas, mas nunca consegui achar direito. Já fiquei clicando bastante tentando encontrar, mas sempre acabava voltando pra mesma tela.","Já me acostumei, mas no começo era difícil",Um pouco mais difícil de usar,Fico clicando nos menus até achar,"Às vezes encontro, às vezes não","Aulas (videoaulas, explicações) | Atividades (exercícios, tarefas) | Jogos e desafios","Eu ia primeiro tentar digitar 'programação' na barra de busca pra ver o que aparece. Se não achasse nada certo, ia entrar em cada matéria clicando uma por uma até encontrar alguma coisa de programação. Não desistiria fácil não, ia continuar tentando.","Tanto faz, o que importa é ser fácil",Fico procurando onde clicar por um tempo | Uso o botão 'voltar' do navegador,"Sim, já aconteceu algumas vezes",Acontece às vezes,Tento por uns 2 ou 3 minutos,Tento de novo mais tarde | Peço ajuda para alguém em casa,Não entendo os nomes das seções | Fico indo e voltando sem saber onde estou,"😞 Chateado, queria ter encontrado",Uma vez o professor mandou achar um vídeo de matemática no portal. Fiquei clicando em vários lugares mas ficava aparecendo sempre as mesmas coisas e o vídeo não estava lá. No fim tive que pedir pra minha mãe me ajudar a encontrar.,"Com certeza, usaria sempre","Sim, um pouco","Adoraria, me ajudaria a descobrir coisas novas","Conteúdos separados por tipo (aulas, atividades, recursos, trilhas) | Uma barra de busca mais visível e fácil de usar | A tela inicial mostrar só o que é mais importante","Queria que tivesse uma lista só com as tarefas que o professor mandou fazer, sem ter que ficar procurando em vários lugares. Às vezes não sei se já fiz tudo ou se tá faltando alguma coisa.","Falaria que dá pra usar mas é meio confuso no começo, tem que ter paciência. Depois que você aprende onde ficam as coisas fica mais fácil, mas no início dá um trabalho.","⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Um pouco mais fácil,confuso
237,12 ou 13 anos,Heavy user digital,Acessa raramente,"Escola pública, zona rural",Tímido/dependente,Obrigação (professor mandou),12 ou 13 anos,Já usei algumas vezes,Celular,Só na escola,Peço ajuda para o professor | Peço ajuda para alguém em casa,"Não sei bem o que aparece, é confuso",😕 Um pouco perdido,Não muito claro,Acho que tem atividades que o professor fala mas eu nunca consigo achar onde ficam.,Tem muitas opções e fico confuso,Muito mais difícil de usar,Peço para alguém me mostrar onde fica,Nunca tentei usar a busca,"Atividades (exercícios, tarefas) | Jogos e desafios","Eu ia pedir pro professor me mostrar onde fica, porque sozinho eu ia me perder.",Não sei a diferença,Fico perdido e às vezes fecho o portal,"Sim, já aconteceu algumas vezes",Acontece bastante,Tento por uns 2 ou 3 minutos,Peço ajuda para o professor,Não entendo os nomes das seções | Tem muita coisa na tela ao mesmo tempo,"😞 Chateado, queria ter encontrado",Uma vez o professor mandou acessar uma atividade de português e eu fiquei clicando em vários lugares mas não achei.,Provavelmente usaria,"Sim, um pouco",Dependeria do que ele sugerisse,Uma barra de busca mais visível e fácil de usar | A tela inicial mostrar só o que é mais importante,Queria que fosse mais fácil de achar as atividades que o professor manda.,"Eu falaria que tem as coisas da escola lá, mas que é meio difícil de usar.","⭐⭐ Ruim, é difícil de usar","Talvez indicaria, talvez não",Não uso há tempo suficiente para comparar,Confuso
238,12 ou 13 anos,Heavy user digital,Acessa semanalmente,Escola e casa,Curioso/explorador,Obrigação (professor mandou),12 ou 13 anos,Uso toda semana,Celular,Tanto na escola quanto em casa,Fico tentando sozinho até descobrir | Peço ajuda para um colega | Procuro um vídeo ou tutorial,Atividades ou tarefas para fazer | Uma lista de matérias ou disciplinas,"🙂 Tranquilo, vou descobrindo",Mais ou menos claro,"Eu fico com a sensação de que tem um lugar com materiais extras e apostilas que nunca consigo achar direito. Já tentei clicar em várias abas diferentes e até usei a busca, mas ou não aparece nada ou aparece coisa que não tem nada a ver. Sinto que tá lá em algum lugar escondido, só não sei onde.","Já me acostumei, mas no começo era difícil | Não uso o menu, prefiro clicar em outras coisas",Um pouco mais difícil,Fico clicando nos menus até achar,"Às vezes encontro, às vezes não","Aulas (videoaulas, explicações) | Atividades (exercícios, tarefas) | Jogos e desafios","Primeiro eu ia direto na aba de atividades, que é onde geralmente ficam as tarefas. Se não achasse lá, tentaria digitar 'programação' na barra de busca pra ver o que aparece. Se a busca não ajudasse, ia clicar em cada matéria uma por uma até encontrar. Na última opção pediria pro professor me mostrar onde fica, porque odeio ficar procurando por muito tempo sem achar.","Tanto faz, o que importa é ser fácil","Fico procurando onde clicar por um tempo | Uso o botão ""voltar"" do navegador","Sim, já aconteceu algumas vezes",Acontece às vezes,Depende do quanto preciso daquilo,Procuro em outro site fora do portal | Tento de novo mais tarde | Peço ajuda para um colega,Não entendo os nomes das seções | Fico indo e voltando sem saber onde estou,"😞 Chateado, queria ter encontrado","Uma vez o professor mandou a gente acessar uma videoaula de matemática que ele tinha postado no portal. Eu fui na aba de matérias, entrei em matemática, mas só apareciam atividades, nada de vídeo. Tentei usar a busca com o nome da aula que ele tinha falado e não deu nada. Fiquei clicando em umas três abas diferentes achando que ia aparecer e não apareceu. No final tive que perguntar pro colega do lado, que achou rapidinho num lugar que eu nunca teria olhado.","Com certeza, usaria sempre","Sim, muito — uso muito as mesmas coisas","Adoraria, me ajudaria a descobrir coisas novas","Conteúdos separados por tipo (aulas, atividades, recursos, trilhas) | Uma barra de busca mais visível e fácil de usar | A tela inicial mostrar só o que é mais importante","Eu queria que tivesse uma aba de jogos e desafios de verdade, tipo quiz ou puzzle sobre as matérias, porque fica mais fácil de aprender assim. Também seria legal ter notificações quando o professor posta algo novo, porque às vezes eu perco atividade sem querer. E uma área de favoritos seria ótimo pra guardar os conteúdos que eu mais gosto e voltar rápido neles.","Eu diria que ele tem tudo que a escola pede, tipo as atividades e as videoaulas, mas que no começo dá uma travada pra achar as coisas. Depois que você aprende onde fica o que você usa, fica mais tranquilo. Mas se comparar com YouTube ou TikTok, dá pra ver que ainda tem bastante coisa pra melhorar na interface.","⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Um pouco mais fácil,labirinto
239,12 ou 13 anos,Usa só celular,Acessa semanalmente,Só em casa,Impaciente,Gosta do conteúdo,12 ou 13 anos,Uso toda semana,Celular,Só em casa,Fico tentando sozinho até descobrir | Desisto e não uso aquela parte,Atividades ou tarefas para fazer | Vídeos ou conteúdos para assistir,"🙂 Tranquilo, vou descobrindo",Mais ou menos claro,Às vezes parece que tem atividade de alguma matéria mas eu nunca acho onde fica. Fico clicando em tudo e nada.,"Tem muitas opções e fico confuso | Já me acostumei, mas no começo era difícil",Muito mais difícil de usar,Fico clicando nos menus até achar,"Às vezes encontro, às vezes não","Aulas (videoaulas, explicações) | Atividades (exercícios, tarefas)","Ia tentar procurar pelo nome da atividade na busca. Se não achasse, ia ficar clicando nas matérias uma por uma até aparecer.","Tanto faz, o que importa é ser fácil","Fico procurando onde clicar por um tempo | Uso o botão ""voltar"" do navegador","Sim, acontece muito",Acontece às vezes,"Desisto quase na hora, menos de 1 minuto",Procuro em outro site fora do portal | Desisto e não faço a tarefa,Clico em vários lugares e não abre nada | A página demora para carregar | Fico indo e voltando sem saber onde estou,"😤 Com raiva, é muito difícil",Uma vez precisava achar uma atividade de matemática que o professor tinha passado. Fiquei procurando por um tempão e não achei nada. Desisti e perguntei pro professor no outro dia.,"Com certeza, usaria sempre","Sim, muito — uso muito as mesmas coisas","Adoraria, me ajudaria a descobrir coisas novas",Poder fixar atalhos rápidos na tela inicial | Uma barra de busca mais visível e fácil de usar | Ver o que eu acessei recentemente,Queria que tivesse uma forma de salvar as aulas que eu gosto pra achar mais fácil. E que carregasse mais rápido no celular.,"Diria que tem conteúdo legal, mas que é chato de navegar. Se tiver paciência, vale a pena.","⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Um pouco mais fácil,confuso
240,12 ou 13 anos,Usa computador às vezes,Acessa semanalmente,Escola e casa,Indiferente,Curiosidade própria,12 ou 13 anos,Uso toda semana,"Uso em aparelhos diferentes, depende do dia",Tanto na escola quanto em casa,Fico tentando sozinho até descobrir | Peço ajuda para um colega,Uma lista de matérias ou disciplinas | Atividades ou tarefas para fazer,"😐 Normal, nem bom nem ruim",Mais ou menos claro,Acho que tem algum lugar com materiais extras mas nunca achei direito.,"Já me acostumei, mas no começo era difícil",Um pouco mais difícil,Fico clicando nos menus até achar,"Às vezes encontro, às vezes não","Aulas (videoaulas, explicações) | Atividades (exercícios, tarefas)","Ia clicar nas matérias e tentar achar lá. Se não achasse, perguntaria para um colega.","Tanto faz, o que importa é ser fácil","Fico procurando onde clicar por um tempo | Uso o botão ""voltar"" do navegador","Sim, já aconteceu algumas vezes",Acontece às vezes,Tento por uns 2 ou 3 minutos,Peço ajuda para um colega | Procuro em outro site fora do portal,Não encontro nem com a busca | Não entendo os nomes das seções,"😐 Normal, já estou acostumado",Uma vez tentei achar uma atividade de ciências e não encontrei. Acabei perguntando pro colega onde estava.,"Talvez, dependeria de como funciona","Sim, um pouco",Indiferente,"Conteúdos separados por tipo (aulas, atividades, recursos, trilhas) | Uma barra de busca mais visível e fácil de usar","Não sei, acho que tá ok assim.","Falaria que dá pra usar, mas que às vezes é um pouco difícil de achar as coisas.","⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Continua igual,normal
